"num_annee","lib_annee","periode","poste","tranche_horaire","consommation_Wh"
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[0,1[",22.4220314025879
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[1,2[",18.6056346893311
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[2,3[",15.8613262176514
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[3,4[",15.4146661758423
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[4,5[",15.6337976455688
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[5,6[",15.3477630615234
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[6,7[",15.7537174224854
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[7,8[",16.4757804870605
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[8,9[",17.9930286407471
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[9,10[",20.2759895324707
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[10,11[",22.5915870666504
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[11,12[",23.9566841125488
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[12,13[",24.2266674041748
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[13,14[",24.8153114318848
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[14,15[",26.2800960540771
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[15,16[",27.4351253509521
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[16,17[",28.6736450195312
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[17,18[",28.9671211242676
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[18,19[",29.6811847686768
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[19,20[",29.5081539154053
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[20,21[",27.9575157165527
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[21,22[",27.2590045928955
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[22,23[",26.4920349121094
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Week-end)","Informatique/Bureautique","[23,24[",24.7321586608887
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[0,1[",21.3090705871582
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[1,2[",18.5559368133545
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[2,3[",16.2141094207764
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[3,4[",15.5620937347412
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[4,5[",15.7272806167603
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[5,6[",17.1419849395752
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[6,7[",16.6339282989502
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[7,8[",16.9079170227051
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[8,9[",19.1205101013184
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[9,10[",21.0074157714844
5,"Juillet 2023 - Juillet 2024","Mois de Décembre - Février (Jours ouvrés)","Informatique/Bureautique","[10,11[",21.9405860900879
